strategy,strategy_label,date,asset,asset_label,old_weight,new_weight,delta_weight,portfolio_value_before,trade_notional,side
strategy_recommended_mix,Rekomendowany miks 30/70/0,1993-10-01,tech_equity,NDX,0.72000000,1.22400000,0.50400000,11591.90008308,5842.31764187,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1993-10-01,long_bond,Obligacje 30+/TLT,0.07500000,0.02250000,-0.05250000,11591.90008308,-608.57475436,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1993-10-01,floating_bond,Obligacje/gotowka,0.02500000,0.00750000,-0.01750000,11591.90008308,-202.85825145,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1993-12-31,us_equity,SPX,0.30600000,0.76500000,0.45900000,12023.52061782,5518.79596358,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1993-12-31,tech_equity,NDX,1.22400000,0.76500000,-0.45900000,12023.52061782,-5518.79596358,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1994-03-04,us_equity,SPX,0.76500000,0.45000000,-0.31500000,11946.91422087,-3763.27797957,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1994-03-04,tech_equity,NDX,0.76500000,0.45000000,-0.31500000,11946.91422087,-3763.27797957,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1994-03-04,long_bond,Obligacje 30+/TLT,0.02250000,0.07500000,0.05250000,11946.91422087,627.21299660,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1994-03-04,floating_bond,Obligacje/gotowka,0.00750000,0.02500000,0.01750000,11946.91422087,209.07099887,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1994-04-01,us_equity,SPX,0.45000000,0.90000000,0.45000000,11708.51643653,5268.83239644,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1994-04-01,tech_equity,NDX,0.45000000,0.00000000,-0.45000000,11708.51643653,-5268.83239644,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1994-04-01,long_bond,Obligacje 30+/TLT,0.07500000,0.05000000,-0.02500000,11708.51643653,-292.71291091,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1994-04-01,floating_bond,Obligacje/gotowka,0.02500000,0.05000000,0.02500000,11708.51643653,292.71291091,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-05-05,us_equity,SPX,0.90000000,1.21500000,0.31500000,13257.48886835,4176.10899353,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-05-05,tech_equity,NDX,0.00000000,0.31500000,0.31500000,13257.48886835,4176.10899353,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-05-05,long_bond,Obligacje 30+/TLT,0.05000000,0.01500000,-0.03500000,13257.48886835,-464.01211039,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-05-05,floating_bond,Obligacje/gotowka,0.05000000,0.01500000,-0.03500000,13257.48886835,-464.01211039,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-06-02,us_equity,SPX,1.21500000,0.90000000,-0.31500000,13549.50537858,-4268.09419425,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-06-02,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,13549.50537858,-4268.09419425,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-06-02,long_bond,Obligacje 30+/TLT,0.01500000,0.05000000,0.03500000,13549.50537858,474.23268825,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-06-02,floating_bond,Obligacje/gotowka,0.01500000,0.05000000,0.03500000,13549.50537858,474.23268825,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-10-06,us_equity,SPX,0.90000000,1.21500000,0.31500000,15262.84814008,4807.79716412,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-10-06,tech_equity,NDX,0.00000000,0.31500000,0.31500000,15262.84814008,4807.79716412,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-10-06,long_bond,Obligacje 30+/TLT,0.05000000,0.01500000,-0.03500000,15262.84814008,-534.19968490,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1995-10-06,floating_bond,Obligacje/gotowka,0.05000000,0.01500000,-0.03500000,15262.84814008,-534.19968490,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-04-05,us_equity,SPX,1.21500000,0.90000000,-0.31500000,17882.77617530,-5633.07449522,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-04-05,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,17882.77617530,-5633.07449522,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-04-05,long_bond,Obligacje 30+/TLT,0.01500000,0.05000000,0.03500000,17882.77617530,625.89716614,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-04-05,floating_bond,Obligacje/gotowka,0.01500000,0.05000000,0.03500000,17882.77617530,625.89716614,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-05-03,us_equity,SPX,0.90000000,1.21500000,0.31500000,18196.02088780,5731.74657966,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-05-03,tech_equity,NDX,0.00000000,0.31500000,0.31500000,18196.02088780,5731.74657966,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-05-03,long_bond,Obligacje 30+/TLT,0.05000000,0.01500000,-0.03500000,18196.02088780,-636.86073107,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-05-03,floating_bond,Obligacje/gotowka,0.05000000,0.01500000,-0.03500000,18196.02088780,-636.86073107,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-08-02,us_equity,SPX,1.21500000,0.90000000,-0.31500000,17554.73565828,-5529.74173236,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-08-02,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,17554.73565828,-5529.74173236,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-08-02,long_bond,Obligacje 30+/TLT,0.01500000,0.05000000,0.03500000,17554.73565828,614.41574804,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-08-02,floating_bond,Obligacje/gotowka,0.01500000,0.05000000,0.03500000,17554.73565828,614.41574804,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-09-06,us_equity,SPX,0.90000000,1.21500000,0.31500000,18420.71732903,5802.52595865,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-09-06,tech_equity,NDX,0.00000000,0.31500000,0.31500000,18420.71732903,5802.52595865,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-09-06,long_bond,Obligacje 30+/TLT,0.05000000,0.01500000,-0.03500000,18420.71732903,-644.72510652,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-09-06,floating_bond,Obligacje/gotowka,0.05000000,0.01500000,-0.03500000,18420.71732903,-644.72510652,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-12-06,us_equity,SPX,1.21500000,0.90000000,-0.31500000,23325.20296205,-7347.43893304,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-12-06,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,23325.20296205,-7347.43893304,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-12-06,long_bond,Obligacje 30+/TLT,0.01500000,0.05000000,0.03500000,23325.20296205,816.38210367,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1996-12-06,floating_bond,Obligacje/gotowka,0.01500000,0.05000000,0.03500000,23325.20296205,816.38210367,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-01-03,us_equity,SPX,0.90000000,1.21500000,0.31500000,22950.45893877,7229.39456571,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-01-03,tech_equity,NDX,0.00000000,0.31500000,0.31500000,22950.45893877,7229.39456571,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-01-03,long_bond,Obligacje 30+/TLT,0.05000000,0.01500000,-0.03500000,22950.45893877,-803.26606286,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-01-03,floating_bond,Obligacje/gotowka,0.05000000,0.01500000,-0.03500000,22950.45893877,-803.26606286,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-01-31,us_equity,SPX,1.21500000,0.90000000,-0.31500000,23415.29181610,-7375.81692207,SELL
