date,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40
1998-02-13,12188.69571825875,35274.40228182639,54971.40311208242,403607.3550656417,16469.922397850525,10483.899292935435,6568.123130081977
1998-02-20,12363.233409265917,36166.19784734841,56619.42791073508,425338.8511322751,16737.35490716982,10614.96122290711,6625.691979318395
1998-02-27,12514.29804978499,36957.61601575066,58092.9206266158,445156.2477902884,16974.51600696088,10725.66180723577,6670.003911916413
1998-03-06,12591.67446840977,37380.84673866699,58889.364115114884,455848.1389889869,17105.71056675159,10777.780847876093,6683.274922388889
1998-03-13,12731.832074712864,38023.83206569847,60055.51129611259,471888.4811362277,17292.411601107007,10896.89709724946,6758.057398805022
1998-03-20,13065.568066667513,39766.37689674231,63312.569156638776,518281.1779146726,17792.475116980448,11152.855265829316,6880.108488508081
1998-03-27,13028.701386280334,39581.736525289125,62969.17735846562,512549.02409555006,17751.987094155626,11117.765871085083,6852.47191509562
1998-04-03,13369.537412211599,41297.883241329364,66163.41615117551,559646.9210548924,18232.730532318386,11393.746020784401,7007.101962646897
1998-04-10,13207.824996390775,40426.70578310101,64512.51699009327,533424.6431199498,18005.012075217557,11263.159459101593,6933.99717562789
1998-04-17,13326.156020261493,41037.58080351793,65657.42357809532,550188.1832256503,18182.12151025109,11354.21466107483,6977.903276457715
1998-04-24,13162.16161715446,40136.840375102525,63944.9561635719,523269.2758207549,17944.292118545058,11225.12497647981,6910.509018939272
1998-05-01,13353.981912597263,41145.92400856827,65842.20283137736,551148.3371730708,18232.730532318386,11371.919976248762,6980.171207512874
1998-05-08,13194.366145983002,40248.9745500735,64129.042486293416,524242.25769005186,17994.895101829992,11249.359556276537,6920.766465142479
1998-05-15,13188.936699946189,40168.35777981819,63956.855735698,521076.4167062257,17979.71561589373,11248.963355838512,6926.116939902228
1998-05-22,13217.955982904889,40270.667361365755,64129.259378632705,523069.84454629646,18015.133074460035,11275.447315471924,6945.086444827676
1998-05-29,12990.577248836831,38957.42310746194,61614.4979571477,484881.23756597796,17655.845653061915,11110.62290504122,6880.550333744091
1998-06-05,13308.215704260987,40633.7298382258,64756.288488634615,529662.98113489,18136.579026587402,11351.90393103935,6992.046160590136
1998-06-12,13158.521393323133,39706.94249885119,62958.48308772112,502106.87725811824,17883.5661230902,11251.488156049772,6965.888765441392
1998-06-19,13153.041873031709,39659.95857130295,62863.2952388511,500148.95930285065,17879.550332817973,11245.515917508901,6960.058045687826
1998-06-26,13545.373527798398,41733.5175497109,66754.98006019766,556350.099530957,18468.42622092239,11545.759516476539,7102.4761597461475
1998-07-03,13675.128359138844,42390.14261678621,67981.36213138016,574462.9241799989,18656.256507579914,11648.589247554397,7156.754757474917
1998-07-10,13850.717848688657,43324.39065463295,69747.6400129398,601180.5775184415,18920.23583985059,11782.876215339445,7220.49788008066
1998-07-17,14066.303419978694,44536.650135190874,72070.38704643302,637209.0842271873,19260.37025651678,11939.94533933759,7283.1955738941415
1998-07-24,13597.393030374207,41810.32903884674,66797.45920443852,551021.7095314079,18534.426086308697,11592.48168842974,7133.811389485707
1998-07-31,13345.348354390293,40411.718751676395,64136.016047586665,510152.01874696393,18158.75544835637,11398.82432820854,7040.058474569845
1998-08-07,13072.033176355191,38847.26476759428,61151.96657298527,466061.99494848587,17727.256267446584,11200.501440432216,6962.375082732781
1998-08-14,12749.972018953864,37100.977237136365,57870.60226126383,419688.3019019766,17239.900362594974,10956.489272129598,6850.42180669605
1998-08-21,13023.034962169251,38452.08995296487,60350.121846493406,452182.62731404876,17635.87137392844,11172.357566993465,6963.017791465111
1998-08-28,12488.303363471327,35489.56159809547,54769.758952183794,375018.6428022719,16793.17137256256,10783.536970455794,6811.079557441755
1998-09-04,11876.351684927025,32288.981439137344,48863.77082624874,300176.1088086369,15879.391883378315,10326.79774253011,6604.726230123437
1998-09-11,12293.503302596544,33423.11767874803,50580.089236680484,310719.6623086723,16519.044872992494,10686.156290045308,6798.345948356198
1998-09-18,12424.546795795972,33779.39383424503,51119.251379217465,314031.80116384104,16643.619920848265,10775.060592687863,6860.1963208742545
