date,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,gross_strategy,gross_strategy_medium_aggressive,gross_strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40,turnover,turnover_medium_aggressive,turnover_aggressive,medium_aggressive_leverage,aggressive_leverage,medium_aggressive_financing_cost,aggressive_financing_cost
1974-09-06,-0.01372394462305045,-0.01372394462305045,-0.01372394462305045,-0.01372394462305045,-0.013273944623050449,-0.013273944623050449,-0.013273944623050449,-0.026024130083867947,-0.020227380990171292,-0.014430631896474637,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.0,0.0,0.0,0.0
1974-09-13,-0.014122237892281238,-0.014122237892281238,-0.014122237892281238,-0.014122237892281238,-0.014122237892281238,-0.014122237892281238,-0.014122237892281238,-0.026024130083867947,-0.021068150220940527,-0.016112170358013107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-09-20,-0.0114213725076658,-0.0114213725076658,-0.0114213725076658,-0.0114213725076658,-0.0114213725076658,-0.0114213725076658,-0.0114213725076658,-0.026024130083867947,-0.018966611759402025,-0.011909093434936104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-09-27,-0.011963752315358149,-0.011963752315358149,-0.011963752315358149,-0.011963752315358149,-0.011963752315358149,-0.011963752315358149,-0.011963752315358149,-0.026024130083867947,-0.019390842528632827,-0.012757554973397704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-10-04,0.002707887107275404,0.002707887107275404,0.002707887107275404,0.002707887107275404,0.002707887107275404,0.002707887107275404,0.002707887107275404,0.0058910884467944236,0.003898255372820161,0.0019054222988458983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-10-11,0.0065865409534292384,0.006586540953429238,0.0065865409534292384,0.0065865409534292384,0.0065865409534292384,0.0065865409534292384,0.0065865409534292384,0.0058910884467944236,0.006981332295897076,0.008071576144999728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-10-18,0.0044235121072753805,0.0044235121072753805,0.0044235121072753805,0.0044235121072753805,0.0044235121072753805,0.0044235121072753805,0.0044235121072753805,0.0058910884467944236,0.005295947680512451,0.004700806914230478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-10-25,0.004063079414967702,0.004063079414967702,0.004063079414967702,0.004063079414967702,0.004063079414967702,0.004063079414967702,0.004063079414967702,0.0058910884467944236,0.005015178449743231,0.004139268452692039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-11-01,0.005960882924093056,0.005960882924093055,0.005960882924093056,0.005960882924093056,0.005960882924093056,0.005960882924093056,0.005960882924093056,0.007378003917931419,0.007044710826652833,0.006711417735374245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-11-08,0.006279993501016144,0.006279993501016144,0.006279993501016144,0.006279993501016144,0.006279993501016144,0.006279993501016144,0.006279993501016144,0.007378003917931419,0.007322403134345149,0.007266802350758876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-11-15,0.00681826273178534,0.006818262731785339,0.00681826273178534,0.00681826273178534,0.00681826273178534,0.00681826273178534,0.00681826273178534,0.007378003917931419,0.007739326211268199,0.008100648504604978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-11-22,0.005015882924093056,0.005015882924093055,0.005015882924093056,0.005015882924093056,0.005015882924093056,0.005015882924093056,0.005015882924093056,0.007378003917931419,0.006335095442037448,0.005292186966143475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-11-29,0.004115666577939209,0.004115666577939209,0.004115666577939209,0.004115666577939209,0.004115666577939209,0.004115666577939209,0.004115666577939209,0.007378003917931419,0.005634710826652832,0.0038914177353742427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-12-06,-0.006895524891709486,-0.006895524891709486,-0.006895524891709486,-0.006895524891709486,-0.006895524891709486,-0.006895524891709486,-0.006895524891709486,-0.015589372180730532,-0.011477651590738273,-0.007365931000746009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-12-13,-0.004076318160940272,-0.004076318160940272,-0.004076318160940272,-0.004076318160940272,-0.004076318160940272,-0.004076318160940272,-0.004076318160940272,-0.015589372180730532,-0.009239574667661362,-0.0028897771545921894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-12-20,-0.005880861430171018,-0.005880861430171017,-0.005880861430171018,-0.005880861430171018,-0.005880861430171018,-0.005880861430171018,-0.005880861430171018,-0.015589372180730532,-0.010647651590738268,-0.005705931000746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974-12-27,-0.01002324123786332,-0.010023241237863318,-0.01002324123786332,-0.01002324123786332,-0.01002324123786332,-0.01002324123786332,-0.01002324123786332,-0.015589372180730532,-0.013871882359969032,-0.01215439253920753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-03,0.008337813063651996,0.008337813063651996,0.008337813063651996,0.008337813063651996,0.00918065501237923,0.00918065501237923,0.00918065501237923,0.016703900721808385,0.01308735134667748,0.009470801971546577,0.42142097436361714,0.42142097436361714,0.42142097436361714,0.0,0.0,0.0,0.0
1975-01-10,0.009913958982598253,0.009913958982598253,0.009913958982598253,0.009913958982598253,0.009913958982598253,0.009913958982598253,0.009913958982598253,0.016703900721808385,0.014488889808215924,0.012273878894623462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-17,-0.0014667795179765508,-0.0014667795179765508,-0.0014667795179765508,-0.0014667795179765508,-0.0014667795179765508,-0.0014667795179765508,-0.0014667795179765508,0.016703900721808385,0.01140658211590824,0.006109263510008096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
