year,strategy_equity,strategy_bonds_cash,strategy_long_bonds,strategy_gold,recommended_mix_equity_exposure,medium_aggressive_equity_exposure,aggressive_equity_exposure,benchmark_60_40_equity,benchmark_60_40_bonds,benchmark_80_20_equity,benchmark_80_20_bonds,benchmark_100_equity,benchmark_100_bonds
1987,0.563835,0.436165,0.226249,0.000000,0.781959,0.875441,1.250441,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1988,0.771210,0.228790,0.116438,0.000000,0.822971,0.845154,0.958362,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1989,0.813698,0.186302,0.046576,0.000000,0.813698,0.813698,0.813698,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1990,0.737093,0.262907,0.092552,0.000000,0.733455,0.731896,0.731896,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1991,0.569845,0.430155,0.322616,0.000000,0.555149,0.548851,0.548851,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1992,0.466559,0.533441,0.356331,0.000000,0.537361,0.567705,0.683089,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1993,0.799333,0.200667,0.142463,0.000000,1.297724,1.511321,2.530189,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1994,0.900000,0.100000,0.055769,0.000000,0.996923,1.038462,1.269231,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1995,0.900000,0.100000,0.050000,0.000000,1.105962,1.194231,1.684615,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1996,0.900000,0.100000,0.050000,0.000000,1.372500,1.575000,2.700000,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1997,0.900000,0.100000,0.050000,0.000000,1.469423,1.713462,3.069231,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1998,0.870061,0.129939,0.080627,0.000000,1.391023,1.614292,2.854677,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
1999,0.900000,0.100000,0.075000,0.000000,1.423019,1.647170,2.892453,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2000,0.797160,0.202840,0.114788,0.000000,0.906198,0.952929,1.212545,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2001,0.328829,0.671171,0.487919,0.000000,0.328829,0.328829,0.328829,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2002,0.125671,0.874329,0.612478,0.000000,0.125671,0.125671,0.125671,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2003,0.207804,0.792196,0.382803,0.000000,0.443004,0.543803,0.918803,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2004,0.824808,0.173305,0.093448,0.001887,1.160654,1.304587,2.040436,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2005,0.717922,0.182078,0.045519,0.100000,0.719088,0.719588,0.719588,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2006,0.780949,0.119051,0.029763,0.100000,0.938449,1.005949,1.380949,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2007,0.699384,0.285231,0.156211,0.015385,0.699384,0.699384,0.699384,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2008,0.348588,0.651412,0.213924,0.000000,0.350486,0.351300,0.351300,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2009,0.900000,0.100000,0.053846,0.000000,1.263462,1.419231,2.284615,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2010,0.741813,0.258187,0.101070,0.000000,0.919100,0.995080,1.391307,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2011,0.778743,0.221257,0.000000,0.000000,0.912012,0.969128,1.286435,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2012,0.800821,0.199179,0.000000,0.000000,1.244687,1.434915,2.386839,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2013,0.850411,0.149589,0.000000,0.000000,1.165411,1.300411,2.050411,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2014,0.857706,0.142294,0.016824,0.000000,1.318091,1.515398,2.611552,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2015,0.900000,0.100000,0.000000,0.000000,1.178654,1.298077,1.961538,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2016,0.701486,0.213608,0.000000,0.084906,0.844128,0.905260,1.244882,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2017,0.888804,0.011196,0.000000,0.100000,1.494573,1.754189,3.196496,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2018,0.884903,0.015097,0.003774,0.100000,1.365329,1.571226,2.696226,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2019,0.850935,0.049065,0.012266,0.100000,1.274974,1.456705,2.466320,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2020,0.613626,0.286374,0.013125,0.100000,0.613626,0.613626,0.613626,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2021,0.590798,0.309202,0.000000,0.100000,0.590798,0.590798,0.590798,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2022,0.590798,0.309202,0.000000,0.100000,0.590798,0.590798,0.590798,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2023,0.467372,0.432628,0.221220,0.100000,0.478601,0.483413,0.483413,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2024,0.633713,0.275903,0.206927,0.090385,0.730636,0.772174,1.002943,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2025,0.565055,0.434945,0.277821,0.000000,0.674093,0.720824,0.980439,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
2026,0.311238,0.688762,0.295184,0.000000,0.311238,0.311238,0.311238,0.600000,0.400000,0.800000,0.200000,1.000000,0.000000
