date,s1_equity,s2_equity,cycle_reentry_trigger,gdp_reentry_boost,soft_landing_reentry,soft_landing_regime,fixed_bond_mode,long_bond_share,gold_mode,bottom_tilt,fed_unemployment_bear_cross,cpi_yoy,real_10y,gdp_yoy,gdp_mom,sp_drawdown,unemployment_26w_change,shiller_fallback_stress,inflation_tightening_regime,stagflation_regime,confirmed_expansion_regime,oil_regime,oil_strong_regime,oil_momentum_26w,s3_equity,s3_bond,s3_raw_equity,s3_raw_bond,pe_branch,forward_pe_proxy
1974-10-11,0.2,0.8,,False,False,False,False,0.25,False,False,False,11.842105263157897,-3.9621052631578975,-1.9457634317057715,0.0,-0.4135135135135135,0.9000000000000004,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.448585572346941
1974-10-18,0.2,0.8,,False,False,False,False,0.25,False,False,False,11.842105263157897,-3.982105263157897,-1.9457634317057715,0.0,-0.4135135135135135,0.9000000000000004,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.483128029369819
1974-10-25,0.2,0.8,,False,False,False,False,0.25,False,False,False,11.842105263157897,-3.982105263157897,-1.9457634317057715,0.0,-0.4135135135135135,0.9000000000000004,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.527031453971279
1974-11-01,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.200435729847502,-4.400435729847502,-1.9457634317057715,0.0,-0.39408783783783796,1.5,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.594872373655085
1974-11-08,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.200435729847502,-4.480435729847502,-1.9457634317057715,0.0,-0.39408783783783796,1.5,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.662713293338891
1974-11-15,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.200435729847502,-4.590435729847502,-1.9457634317057715,0.0,-0.39408783783783796,1.5,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.730554213022698
1974-11-22,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.200435729847502,-4.6004357298475025,-1.9457634317057715,0.0,-0.39408783783783796,1.5,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.798395132706504
1974-11-29,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.200435729847502,-4.5604357298475025,-1.9457634317057715,0.0,-0.39408783783783796,1.5,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.798395132706504
1974-12-06,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.095032397408211,-4.505032397408211,-1.9457634317057715,0.0,-0.43353040540540544,1.7999999999999998,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.70086444058107
1974-12-13,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.095032397408211,-4.715032397408211,-1.9457634317057715,0.0,-0.43353040540540544,1.7999999999999998,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.603333748455635
