date,forward_pe_proxy,s3_equity,s3_bond,pe_branch,s3_raw_equity,s3_raw_bond
1989-05-31,10.714691127001664,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1989-06-30,10.87716232745064,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1989-07-31,11.382888969675353,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1989-08-31,12.13755427931083,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1989-09-30,12.423893368438376,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1989-10-31,12.56714687348269,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1989-11-30,12.446632593186754,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1989-12-31,12.917522029451655,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-01-31,12.81059001740887,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-02-28,12.683078481945468,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-03-31,13.236294807317776,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-04-30,13.309303280917606,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-05-31,13.87232769063945,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-06-30,14.365722212478277,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-07-31,14.244172245169253,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-08-31,12.98872150924428,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-09-30,12.295152261706145,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-10-31,12.045855518921352,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-11-30,12.48636813287536,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1990-12-31,13.351928822596957,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1991-01-31,13.757681863728724,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1991-02-28,16.004120076674276,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1991-03-31,17.113763722372557,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1991-04-30,18.423901717480764,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1991-05-31,19.414238622692498,0.8607370769091486,0.1392629230908514,rising,0.9,0.1
1991-06-30,20.177665586956767,0.8607370769091486,0.1392629230908514,rising,0.8916392664961522,0.1083607335038477
1991-07-31,20.958631914717824,0.8607370769091486,0.1392629230908514,rising,0.8548879098956319,0.1451120901043681
1991-08-31,22.32752456619368,0.8087212487135715,0.1912787512864284,rising,0.7904694321791209,0.2095305678208791
1991-09-30,22.98829184351976,0.8087212487135715,0.1912787512864284,rising,0.7593745014814232,0.2406254985185768
1991-10-31,23.885358429723045,0.7487967978476897,0.2512032021523103,rising,0.7171596033071508,0.2828403966928492
1991-11-30,24.931998800698597,0.6934340129248686,0.3065659870751314,rising,0.6679059387906544,0.3320940612093456
1991-12-31,26.12614153507537,0.6399215973634741,0.3600784026365259,rising,0.6117109865846887,0.3882890134153113
1992-01-31,27.94399959452629,0.5693461264425346,0.4306538735574654,rising,0.5261647249634688,0.4738352750365312
1992-02-29,27.61928069958436,0.5693461264425346,0.4306538735574654,rising,0.5414456141372065,0.4585543858627935
1992-03-31,27.297757846927592,0.5693461264425346,0.4306538735574654,rising,0.5565761013210545,0.4434238986789455
1992-04-30,26.950819657706557,0.5693461264425346,0.4306538735574654,rising,0.572902604343221,0.4270973956567789
1992-05-31,27.165662038860926,0.5693461264425346,0.4306538735574654,rising,0.5627923746418387,0.4372076253581612
1992-06-30,26.66207715629959,0.5693461264425346,0.4306538735574654,rising,0.5864904867623724,0.4135095132376276
1992-07-31,26.671267775333483,0.5693461264425346,0.4306538735574654,rising,0.5860579870431302,0.4139420129568698
1992-08-31,26.355908997457156,0.5693461264425346,0.4306538735574654,rising,0.6008984001196633,0.3991015998803366
1992-09-30,25.907838871928536,0.6219840530857159,0.3780159469142841,rising,0.6219840530857159,0.3780159469142841
1992-10-31,25.051586648635148,0.6219840530857159,0.3780159469142841,rising,0.662278275358346,0.3377217246416539
1992-11-30,25.199939096869883,0.6219840530857159,0.3780159469142841,rising,0.6552969836767114,0.3447030163232886
1992-12-31,25.48677204158597,0.6219840530857159,0.3780159469142841,rising,0.6417989627488954,0.3582010372511046
1993-01-31,25.133638661251844,0.6219840530857159,0.3780159469142841,rising,0.6584170041763838,0.3415829958236162
1993-02-28,25.02571673815695,0.6219840530857159,0.3780159469142841,rising,0.6634956829102611,0.3365043170897389
1993-03-31,24.83612543523737,0.673173460408905,0.326826539591095,rising,0.6724176265770647,0.3275823734229353
1993-04-30,24.499958030430086,0.673173460408905,0.326826539591095,rising,0.6882372691562313,0.3117627308437687
1993-05-31,24.754699656913623,0.673173460408905,0.326826539591095,rising,0.676249427909947,0.323750572090053
1993-06-30,25.080573359387515,0.673173460408905,0.326826539591095,rising,0.6609141948523523,0.3390858051476477
1993-07-31,24.48817620882235,0.673173460408905,0.326826539591095,rising,0.6887917078201248,0.3112082921798752
1993-08-31,24.32351086680616,0.673173460408905,0.326826539591095,rising,0.6965406650914749,0.303459334908525
1993-09-30,24.04255180416206,0.673173460408905,0.326826539591095,rising,0.7097622680394325,0.2902377319605674
1993-10-31,23.530127242027667,0.7279708526998885,0.2720291473001115,rising,0.7338763650810509,0.2661236349189491
1993-11-30,22.848789333380253,0.7279708526998885,0.2720291473001115,rising,0.765939325487988,0.2340606745120119
1993-12-31,22.23156098368089,0.7784476850799522,0.2215523149200478,rising,0.7949853654738407,0.2050146345261593
1994-01-31,22.09365965614928,0.7784476850799522,0.2215523149200478,rising,0.8014748397106223,0.1985251602893777
1994-02-28,21.62774030355609,0.7784476850799522,0.2215523149200478,rising,0.8234004563032428,0.1765995436967572
1994-03-31,20.03685859588472,0.8982654778407191,0.1017345221592809,rising,0.8982654778407191,0.1017345221592809
1994-04-30,17.492031143174334,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1994-05-31,16.373461146309808,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1994-06-30,15.952150452611194,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1994-07-31,15.387242857883887,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1994-08-31,15.393542050543758,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1994-09-30,15.06608530482281,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1994-10-31,14.359902050244289,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1994-11-30,13.694130269933556,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1994-12-31,12.994899087944386,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-01-31,13.000315624823775,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-02-28,13.185200963287716,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-03-31,13.142796190826504,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-04-30,13.101715711763156,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-05-31,13.132054552692102,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-06-30,13.275523415232088,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-07-31,13.620168905049558,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-08-31,13.564902201497429,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-09-30,13.942099228182425,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-10-31,14.20630196156246,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-11-30,14.68533320563121,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1995-12-31,15.336337865085545,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-01-31,15.32054936943679,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-02-29,16.183599566012237,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-03-31,16.10941265510168,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-04-30,15.975798209798224,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-05-31,16.186146931821522,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-06-30,16.228170258631156,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-07-31,15.474084758111806,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-08-31,15.758844683682357,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-09-30,15.887005649717516,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-10-31,16.105598133802335,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-11-30,16.48464179117855,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1996-12-31,16.263177933279945,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-01-31,16.550710316258066,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-02-28,17.027123412745755,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-03-31,16.682953128685515,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-04-30,16.04723225627913,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-05-31,17.478244208256143,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-06-30,18.429488812836755,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-07-31,19.516926244858524,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-08-31,19.571179566549347,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-09-30,19.81753135250033,0.8982654778407191,0.1017345221592809,rising,0.9,0.1
1997-10-31,20.3814091168215,0.8982654778407191,0.1017345221592809,rising,0.8820513356789882,0.1179486643210118
1997-11-30,20.350410229314424,0.8982654778407191,0.1017345221592809,rising,0.8835101068557919,0.1164898931442081
1997-12-31,21.12946457912197,0.846848725688378,0.153151274311622,rising,0.846848725688378,0.153151274311622
1998-01-31,21.309403421469177,0.846848725688378,0.153151274311622,rising,0.838381015460274,0.161618984539726
1998-02-28,22.766312649769464,0.7884637895531982,0.2115362104468018,rising,0.7698205811873193,0.2301794188126806
1998-03-31,24.25856929277954,0.7359735563434369,0.2640264436565631,rising,0.6995967391633158,0.3004032608366842
1998-04-30,25.467827461263195,0.6837935152355995,0.3162064847644005,rising,0.6426904724111437,0.3573095275888562
1998-05-31,25.743097698877133,0.6320799144478974,0.3679200855521026,rising,0.6297365788763702,0.3702634211236297
1998-06-30,26.043538844986223,0.6320799144478974,0.3679200855521026,rising,0.6155981720006484,0.3844018279993516
1998-07-31,27.700069385868048,0.5810626904667666,0.4189373095332334,rising,0.5376437936062095,0.4623562063937905
1998-08-31,26.27238176198052,0.5810626904667666,0.4189373095332334,rising,0.6048290935538579,0.395170906446142
1998-09-30,25.25353501667357,0.6405912524612629,0.3594087475387371,rising,0.6527748227447732,0.3472251772552268
1998-10-31,25.812778485335684,0.6405912524612629,0.3594087475387371,rising,0.6264574830430267,0.3735425169569732
1998-11-30,28.96088179544372,0.5144247014527021,0.4855752985472978,rising,0.4783114449202956,0.5216885550797044
1998-12-31,30.531816547377648,0.4043851036528165,0.5956148963471835,rising,0.4043851036528165,0.5956148963471835
1999-01-31,32.116071657618235,0.3478496373494726,0.6521503626505274,rising,0.329831921994436,0.670168078005564
1999-02-28,31.90929919491084,0.3478496373494726,0.6521503626505274,rising,0.3395623908277253,0.6604376091722747
1999-03-31,32.6702022896558,0.3478496373494726,0.6521503626505274,rising,0.3037551863691389,0.6962448136308611
1999-04-30,33.38771122258577,0.2956323100033772,0.7043676899966228,rising,0.2699900601136107,0.7300099398863893
1999-05-31,32.62741568902307,0.2956323100033772,0.7043676899966228,rising,0.305768673457738,0.6942313265422619
1999-06-30,31.61433150025301,0.3534432235175054,0.6465567764824945,rising,0.3534432235175054,0.6465567764824945
1999-07-31,32.1250317678,0.3534432235175054,0.6465567764824945,rising,0.3294102697505885,0.6705897302494115
1999-08-31,30.13018365621052,0.423285475001858,0.576714524998142,rising,0.423285475001858,0.576714524998142
1999-09-30,29.143173039207497,0.423285475001858,0.576714524998142,rising,0.469733033449059,0.530266966550941
1999-10-31,27.579822272673127,0.5433024812859705,0.4566975187140295,rising,0.5433024812859705,0.4566975187140295
1999-11-30,28.624667009143668,0.5433024812859705,0.4566975187140295,rising,0.4941333172167685,0.5058666827832314
1999-12-31,28.543554101918176,0.5433024812859705,0.4566975187140295,rising,0.4979503952038506,0.5020496047961494
2000-01-31,27.944243846527165,0.5433024812859705,0.4566975187140295,rising,0.5261532307516628,0.4738467692483372
2000-02-29,26.720138126958,0.5433024812859705,0.4566975187140295,rising,0.5837582057902119,0.4162417942097881
2000-03-31,27.241689826289573,0.5433024812859705,0.4566975187140295,rising,0.5592145964099025,0.4407854035900975
2000-04-30,27.42934222313892,0.5433024812859705,0.4566975187140295,rising,0.5503838953816979,0.4496161046183021
2000-05-31,26.457652059641923,0.5961104913109683,0.4038895086890317,rising,0.5961104913109683,0.4038895086890317
2000-06-30,27.098829720660408,0.5961104913109683,0.4038895086890317,rising,0.5659374249100985,0.4340625750899015
2000-07-31,26.994972536396208,0.5961104913109683,0.4038895086890317,rising,0.5708248218166491,0.4291751781833509
2000-08-31,26.919168955087244,0.5961104913109683,0.4038895086890317,rising,0.574392049172365,0.425607950827635
2000-09-30,26.309723941883654,0.5961104913109683,0.4038895086890317,rising,0.6030718144995928,0.3969281855004072
2000-10-31,25.499096715550984,0.5961104913109683,0.4038895086890317,rising,0.6412189780917185,0.3587810219082815
2000-11-30,25.88564200652691,0.5961104913109683,0.4038895086890317,rising,0.6230286114575572,0.3769713885424428
2000-12-31,25.465094644816755,0.5961104913109683,0.4038895086890317,rising,0.6428190755380351,0.3571809244619649
2001-01-31,26.3562512335482,0.5961104913109683,0.4038895086890317,rising,0.6008822948918496,0.3991177051081503
2001-02-28,26.600636637479543,0.5961104913109683,0.4038895086890317,rising,0.5893818052950802,0.4106181947049198
2001-03-31,24.9661467958594,0.6470696820581442,0.3529303179418558,rising,0.666298974312499,0.333701025687501
2001-04-30,26.747367560993176,0.5824768206591446,0.4175231793408553,rising,0.5824768206591446,0.4175231793408553
2001-05-31,30.6331475368134,0.399616586502899,0.600383413497101,rising,0.399616586502899,0.600383413497101
2001-06-30,32.210683487089746,0.3439388470813806,0.6560611529186193,rising,0.3253796006075413,0.6746203993924587
2001-07-31,33.926460522988684,0.2850083762334486,0.7149916237665513,rising,0.2446371518593559,0.755362848140644
2001-08-31,36.20908530446074,0.1640739242779894,0.8359260757220106,rising,0.1372195150842002,0.8627804849157997
2001-09-30,35.300988478077606,0.1640739242779894,0.8359260757220106,rising,0.1799534833845832,0.8200465166154167
2001-10-31,38.00036076418862,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2001-11-30,41.732236300004864,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2001-12-31,44.362695854797785,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-01-31,44.17384583360985,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-02-28,42.63623761672399,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-03-31,44.68789540247985,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-04-30,41.91272660283858,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-05-31,39.68911141535375,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-06-30,36.76149142439888,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-07-31,33.07704916102046,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-08-31,33.715409359913465,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-09-30,31.081238261447304,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-10-31,31.464582425661856,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-11-30,34.46365222935329,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2002-12-31,35.064570901505654,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2003-01-31,33.81887688583357,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2003-02-28,30.621015540130752,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2003-03-31,30.042636776480503,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2003-04-30,30.17923063413783,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2003-05-31,30.38633876066536,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
2003-06-30,30.76681098441776,0.0999999999999999,0.9,falling,0.0999999999999999,0.9
